tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0011594,movie,Pour don Carlos,Pour don Carlos,0,2021,\N,\N,\N
tt0104988,movie,Neues in Wittstock,Neues in Wittstock,0,2021,\N,100,Documentary
tt0112600,movie,Burnzy's Last Call,Burnzy's Last Call,0,2022,\N,85,"Comedy,Drama"
tt0199602,movie,Holy Hollywood,Holy Hollywood,0,2021,\N,82,Comedy
tt0228802,movie,Mugen ryûkyû tsuru Henrî,Mugen ryûkyû tsuru Henrî,0,2021,\N,85,"Drama,Fantasy"
tt0293429,movie,Mortal Kombat,Mortal Kombat,0,2021,\N,110,"Action,Adventure,Fantasy"
tt0326716,movie,5-25-77,'77,0,2021,\N,113,"Comedy,Drama"
tt0346172,movie,Zamaanat: And Justice for All,Zamaanat: And Justice for All,0,2021,\N,\N,"Drama,Family,Mystery"
tt0426522,movie,Making Angels,Making Angels,0,2022,\N,\N,"Comedy,Drama,Fantasy"
tt0439572,movie,The Flash,The Flash,0,2022,\N,\N,"Action,Adventure,Fantasy"
tt0451272,movie,Nefarious,Nefarious,0,2022,\N,85,"Crime,Thriller"
tt0499097,movie,Without Remorse,Without Remorse,0,2021,\N,109,"Action,Thriller,War"
tt0760323,movie,Slow Moses,Slow Moses,0,2023,\N,93,Drama
tt0803053,movie,M,M,0,2023,\N,\N,"Adventure,Comedy,Drama"
tt0818543,movie,Z,Z,0,2021,\N,\N,"Action,Adventure,Drama"
tt0840306,movie,Cosmic Radio,Cosmic Radio,0,2022,\N,90,"Comedy,Drama,Romance"
tt0849437,movie,Duel of Legends,Duel of Legends,0,2023,\N,\N,"Action,Drama,Sport"
tt0870154,movie,Jungle Cruise,Jungle Cruise,0,2021,\N,127,"Action,Adventure,Comedy"
tt0887261,movie,Hellraiser,Hellraiser,0,2022,\N,\N,"Horror,Thriller"
tt0965381,movie,Milli Vanilli,Milli Vanilli,0,2022,\N,\N,"Comedy,Drama"
tt0993840,movie,Army of the Dead,Army of the Dead,0,2021,\N,148,"Action,Crime,Horror"
tt0995854,movie,A Journal for Jordan,A Journal for Jordan,0,2021,\N,131,Drama
tt10002230,movie,Back Home Again,Back Home Again,0,2021,\N,\N,"Animation,Family"
tt10003618,movie,Celts,Kelti,0,2021,\N,106,Drama
tt10005622,movie,Chinese Speaking Vampires,Chinese Speaking Vampires,0,2021,\N,80,Action
tt10010852,movie,F-Word,F-Word,0,2021,\N,78,Comedy
tt10010874,movie,The 10th Man,The 10th Man,0,2021,\N,\N,Comedy
tt10011002,movie,Preman,Preman,0,2021,\N,92,"Action,Crime,Drama"
tt10012930,movie,Uljanenko uncensored,Uljanenko uncensored,0,2021,\N,90,Documentary
tt10013588,movie,Shlyakh mertsya,Shlyakh mertsya,0,2022,\N,82,Horror
tt10014534,movie,Sirens,Sirens,0,2022,\N,78,Documentary
tt1001520,movie,Last Voyage of the Demeter,Last Voyage of the Demeter,0,2023,\N,\N,Horror
tt10016152,movie,Mr Nelson on the North Side,Mr Nelson on the North Side,0,2021,\N,68,Documentary
tt10016180,movie,The Little Things,The Little Things,0,2021,\N,128,"Crime,Drama,Mystery"
tt10016454,movie,Willie Lynch,Willie Lynch,0,2021,\N,\N,"Mystery,Thriller"
tt10021068,movie,The Flag,The Flag,0,2021,\N,52,Documentary
